G_label,ANC,start_pairwise_connectivity,end_pairwise_connectivity,baseline,method_name
powergrid,0.426613909728396,1.0,0.0619696221076721,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
powergrid,0.833300036846797,1.0,0.6619469251335803,True,random
powergrid,0.3935156359905347,1.0,0.0177791871205733,True,degree
powergrid,0.3621889720624727,1.0,0.0090815755469192,True,HDA
powergrid,0.4387059051300586,1.0,0.1035390891876367,True,CI
soc-wiki-Vote,0.6896474876297711,1.0,0.4111614426575056,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
soc-wiki-Vote,0.7032361990531282,1.0,0.4198765694828687,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
soc-wiki-Vote,0.7041139302458199,1.0,0.4538908987727885,False,ORIGINAL_BA_FINDER
soc-wiki-Vote,0.6929350786388189,1.0,0.4403748517921746,False,MTSSL_MEGA_reset_BA_FINDER_noProc
soc-wiki-Vote,0.7152636613758662,1.0,0.4418974655195127,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
soc-wiki-Vote,0.7064758557130605,1.0,0.4344668065140506,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
soc-wiki-Vote,0.7051921364175301,1.0,0.4661098105979995,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
soc-wiki-Vote,0.8751920252904505,1.0,0.7520242402132166,True,random
soc-wiki-Vote,0.7705659949754438,1.0,0.5427497238520861,True,degree
soc-wiki-Vote,0.7580878202187257,1.0,0.532826133219834,True,HDA
soc-wiki-Vote,0.7897759372907011,1.0,0.5884002675341258,True,CI
Hamilton1000,0.844227117117117,1.0,0.6822162162162162,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
Hamilton1000,0.8600225325325322,1.0,0.7207267267267268,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
Hamilton1000,0.887884024024024,1.0,0.7585425425425425,False,ORIGINAL_BA_FINDER
Hamilton1000,0.8827101401401402,1.0,0.7568148148148148,False,MTSSL_MEGA_reset_BA_FINDER_noProc
Hamilton1000,0.8491441041041041,1.0,0.7055255255255255,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
Hamilton1000,0.8493929829829832,1.0,0.7038458458458459,False,MTSSL_MEGA_CrossAttention_1l_finetune_BA_FINDER_noProc
Hamilton1000,0.8563937137137136,1.0,0.7021661661661661,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
Hamilton1000,0.9032867867867868,1.0,0.80990990990991,True,random
Hamilton1000,0.9018051251251252,1.0,0.8045165165165166,True,degree
Hamilton1000,0.9010673373373372,1.0,0.8009309309309309,True,HDA
Hamilton1000,0.9016456156156156,1.0,0.8063123123123123,True,CI
facebook,0.7353248602991188,1.0,0.6481310687856303,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
socfb-Bowdoin47,0.8950283912147635,0.9982245901367697,0.7973783903424017,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Treni_Roma,0.2956436621892852,1.0,0.060645360506407286,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton5000,0.8457087155031007,1.0,0.6972111222244449,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
socfb-Haverford76,0.9012363448891612,1.0,0.8069520021823716,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton3000c,0.8445982249638768,1.0,0.6922034011337113,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
humanDiseasome,0.28700358746644594,1.0,0.060141491683600515,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton3000e,0.846171122596421,1.0,0.6983152161831722,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton2000,0.8486135992996497,1.0,0.6946903451725863,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton3000a,0.8482010414582638,1.0,0.6938652884294765,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
EU_flights,0.8009896920688558,0.9966443000373953,0.6866597520620339,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
yeast1,0.21309285030437206,0.701875910840523,0.0012067747120902673,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
socfb-Reed98,0.8901880886629846,1.0,0.7916649539958593,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton3000d,0.8485827805564817,1.0,0.6999877737023452,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
email-univ,0.8153328680750803,1.0,0.6364993029544129,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
OClinks,0.6174205026052069,0.9936908727404086,0.42284913972247606,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton3000b,0.8445876999740654,1.0,0.6955325108369457,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Enron,0.23052946447531164,1.0,0.04423001001808441,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton4000,0.8479857294011002,1.0,0.6976255313828457,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Bovine,0.16436524334251604,1.0,0.00041322314049586776,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Ecoli,0.17324846628626836,1.0,0.0017901096442157081,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Circuit,0.7167172579523177,1.0,0.29365079365079366,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
USAir97,0.5220450602189036,1.0,0.27840061150948203,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
socfb-Caltech36,0.854566042921429,0.9818825856090161,0.7431864976159515,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
openflights,0.462997585229105,0.991967914871781,0.19833452617269612,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
powergrid,0.4142937858356066,1.0,0.05536939120488157,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
soc-wiki-Vote,0.7154953152738586,1.0,0.46765522552924127,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
Hamilton1000,0.8506711111111112,1.0,0.6988188188188188,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
PPI_3,0.8756288832163103,1.0,0.7655923309361126,False,ORIGINAL_BA_FINDER
PPI_3,0.8536373529368604,1.0,0.72750271018724,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
PPI_3,0.899564492615432,1.0,0.7997873797924354,True,random
PPI_3,0.8735065210675703,1.0,0.7592651562570673,True,degree
PPI_3,0.8673350940221943,1.0,0.7435595664867657,True,HDA
PPI_3,0.873967129088418,1.0,0.7608447613503225,True,CI
PPI_4,0.861372022264383,1.0,0.7490874640288364,False,ORIGINAL_BA_FINDER
PPI_4,0.8316716333332079,1.0,0.6968048025426781,False,MTSSL_MEGA_CrossAttention_1l_freeze_BA_FINDER_noProc
PPI_4,0.9008493299794615,1.0,0.8032632577071626,True,random
PPI_4,0.8590622099716051,1.0,0.7401603380546001,True,degree
PPI_4,0.8518139573716197,1.0,0.7268692615462893,True,HDA
PPI_4,0.8601519180576161,1.0,0.745609948690501,True,CI
PPI_4,0.8459478344407269,1.0,0.7273593944620101,False,MTSSL_MEGA_freeze_BA_FINDER_noProc
PPI_4,0.8475046993642963,1.0,0.7303034958519591,False,MTSSL_MEGA_CrossAttention_2l_freeze_BA_FINDER_noProc
PPI_4,0.848673382423146,1.0,0.7342382703445632,False,MTSSL_MEGA_CrossAttention_4l_freeze_BA_FINDER_noProc
PPI_4,0.8534013541357993,1.0,0.7249105470259983,False,MTSSL_MEGA_finetune_BA_FINDER_noProc
